PRODUKTIVITAS,KEMIRINGAN LERENG,TINGKAT EROSI,MANAJEMEN LAHAN
Sangat Tinggi,Datar,Berat,Baik
Sangat Tinggi,Datar,Sangat Berat,Baik
Sangat Rendah,Datar,Sedang,Buruk
Sangat Rendah,Datar,Sedang,Buruk
Sangat Tinggi,Datar,Sedang,Baik
Sangat Tinggi,Datar,Sedang,Baik
Sangat Tinggi,Datar,Sedang,Baik
Sangat Rendah,Datar,Sedang,Buruk
Sangat Tinggi,Datar,Sedang,Baik
Sangat Tinggi,Datar,Sedang,Baik
Sangat Rendah,Datar,Sedang,Buruk
Sangat Rendah,Datar,Sedang,Buruk
Sangat Tinggi,Landai,Sedang,Baik
Sangat Rendah,Landai,Sedang,Buruk
Sangat Tinggi,Landai,Sedang,Baik
Sangat Rendah,Landai,Sedang,Buruk
Sangat Rendah,Landai,Sedang,Buruk
Sangat Rendah,Agak Curam,Sedang,Buruk
Sangat Rendah,Agak Curam,Sedang,Buruk
Sangat Rendah,Agak Curam,Sedang,Buruk
Sangat Rendah,Curam,Sedang,Buruk
Sangat Tinggi,Datar,Sedang,Baik
Sangat Tinggi,Datar,Sedang,Baik
Sangat Tinggi,Datar,Sedang,Baik
Sangat Tinggi,Datar,Sedang,Baik
Sangat Tinggi,Datar,Sedang,Baik
Sangat Tinggi,Datar,Sedang,Baik
Sangat Tinggi,Datar,Sedang,Baik
Sangat Tinggi,Datar,Ringan,Baik
Sangat Tinggi,Datar,Ringan,Baik
Sangat Tinggi,Datar,Ringan,Baik
Sedang,Datar,Sedang,Sedang
Sangat Tinggi,Datar,Berat,Baik
Sangat Tinggi,Datar,Berat,Baik
Sangat Tinggi,Datar,Berat,Baik
Sangat Tinggi,Landai,Sangat Berat,Baik
Sangat Tinggi,Landai,Sangat Berat,Baik
Sangat Tinggi,Landai,Sangat Berat,Baik
Sangat Tinggi,Agak Curam,Sangat Berat,Baik
Sangat Tinggi,Datar,Sangat Berat,Baik
Sangat Tinggi,Datar,Sangat Berat,Baik
Sangat Tinggi,Datar,Sangat Berat,Baik
Sangat Tinggi,Datar,Sangat Berat,Baik
Sangat Tinggi,Landai,Sangat Berat,Baik
Sangat Tinggi,Landai,Sangat Berat,Baik
Sangat Tinggi,Landai,Sangat Berat,Baik
Sangat Tinggi,Agak Curam,Sangat Berat,Baik
Sangat Tinggi,Agak Curam,Sangat Berat,Baik
Sedang,Datar,Sedang,Sedang
Sangat Tinggi,Datar,Sedang,Baik
Sedang,Datar,Sedang,Sedang
Sangat Tinggi,Datar,Sedang,Baik
Sedang,Datar,Sedang,Sedang
Sangat Tinggi,Datar,Berat,Baik
Sangat Tinggi,Datar,Berat,Baik
Sangat Tinggi,Datar,Berat,Baik
Sangat Tinggi,Datar,Berat,Baik
Sangat Tinggi,Datar,Berat,Baik
Sangat Tinggi,Datar,Berat,Baik
Sangat Tinggi,Datar,Berat,Baik
Sangat Tinggi,Landai,Sangat Berat,Baik
Sangat Tinggi,Landai,Sangat Berat,Baik
Sangat Tinggi,Landai,Sangat Berat,Baik
Sangat Tinggi,Landai,Sangat Berat,Baik
Sangat Tinggi,Landai,Sangat Berat,Baik
Sangat Tinggi,Agak Curam,Sangat Berat,Baik
Sangat Tinggi,Agak Curam,Sangat Berat,Baik
Sangat Tinggi,Agak Curam,Sangat Berat,Baik
Sangat Tinggi,Agak Curam,Sangat Berat,Baik
Sangat Tinggi,Agak Curam,Sangat Berat,Baik
Sangat Tinggi,Agak Curam,Sangat Berat,Baik
Sangat Tinggi,Agak Curam,Sangat Berat,Baik
Sangat Tinggi,Curam,Sangat Berat,Baik
Sangat Tinggi,Curam,Sangat Berat,Baik
Sangat Tinggi,Curam,Sangat Berat,Baik
Sangat Tinggi,Curam,Sangat Berat,Baik
Sangat Tinggi,Curam,Sangat Berat,Baik
Sangat Tinggi,Sangat Curam,Sangat Berat,Baik
Sangat Tinggi,Datar,Sangat Berat,Baik
Sangat Tinggi,Datar,Sangat Berat,Baik
Sangat Tinggi,Datar,Sangat Berat,Baik
Sangat Tinggi,Landai,Sangat Berat,Baik
Sangat Tinggi,Landai,Sangat Berat,Baik
Sangat Tinggi,Landai,Sangat Berat,Baik
Sangat Tinggi,Agak Curam,Sangat Berat,Baik
Sangat Tinggi,Agak Curam,Sangat Berat,Baik
Sangat Tinggi,Agak Curam,Sangat Berat,Baik
Sangat Tinggi,Agak Curam,Sangat Berat,Baik
Sangat Tinggi,Agak Curam,Sangat Berat,Baik
Sangat Tinggi,Datar,Sangat Berat,Baik
Sangat Tinggi,Datar,Sedang,Baik
Sangat Rendah,Datar,Sedang,Buruk
Sangat Tinggi,Datar,Sedang,Baik
Sangat Rendah,Datar,Sedang,Buruk
Sangat Rendah,Datar,Sedang,Buruk
Sangat Rendah,Datar,Sedang,Buruk
Sangat Tinggi,Datar,Sedang,Baik
Sangat Tinggi,Datar,Sedang,Baik
Sangat Tinggi,Datar,Sedang,Baik
Sangat Tinggi,Datar,Sedang,Baik
Sangat Tinggi,Datar,Sedang,Baik
Sangat Tinggi,Datar,Sedang,Baik
Sangat Tinggi,Datar,Sedang,Baik
Sangat Tinggi,Datar,Ringan,Baik
Sangat Tinggi,Datar,Ringan,Baik
Sedang,Curam,Sedang,Sedang
Sangat Tinggi,Datar,Berat,Baik
Sangat Tinggi,Datar,Berat,Baik
Sangat Tinggi,Datar,Berat,Baik
Sangat Tinggi,Landai,Sangat Berat,Baik
Sangat Tinggi,Landai,Sangat Berat,Baik
Sangat Tinggi,Landai,Sangat Berat,Baik
Sangat Tinggi,Landai,Sangat Berat,Baik
Sangat Tinggi,Landai,Sangat Berat,Baik
Sangat Tinggi,Landai,Sangat Berat,Baik
Sangat Tinggi,Landai,Sangat Berat,Baik
Sangat Tinggi,Landai,Sangat Berat,Baik
Sangat Tinggi,Agak Curam,Sangat Berat,Baik
Sangat Tinggi,Agak Curam,Sangat Berat,Baik
Sangat Tinggi,Agak Curam,Sangat Berat,Baik
Sangat Tinggi,Agak Curam,Sangat Berat,Baik
Sangat Tinggi,Agak Curam,Sangat Berat,Baik
Sangat Tinggi,Agak Curam,Sangat Berat,Baik
Sangat Tinggi,Agak Curam,Sangat Berat,Baik
Sangat Tinggi,Curam,Sangat Berat,Baik
Sangat Tinggi,Curam,Sangat Berat,Baik
Sangat Tinggi,Curam,Sangat Berat,Baik
Sangat Tinggi,Curam,Sangat Berat,Baik
Sangat Tinggi,Curam,Sangat Berat,Baik
Sangat Tinggi,Curam,Sangat Berat,Baik
Sangat Tinggi,Curam,Sangat Berat,Baik
Sangat Rendah,Datar,Sedang,Buruk
Sangat Rendah,Datar,Sedang,Buruk
Sangat Tinggi,Landai,Sedang,Baik
Sangat Tinggi,Landai,Sedang,Baik
Sangat Tinggi,Datar,Ringan,Baik
Sangat Tinggi,Datar,Ringan,Baik
Sangat Tinggi,Datar,Ringan,Baik
Sangat Tinggi,Datar,Sedang,Baik
Sangat Tinggi,Datar,Sedang,Baik
Sangat Tinggi,Datar,Sangat Berat,Baik
Sangat Tinggi,Datar,Sangat Berat,Baik
Sangat Tinggi,Landai,Sangat Berat,Baik
Sangat Tinggi,Landai,Sangat Berat,Baik
Sangat Tinggi,Datar,Ringan,Baik
Sangat Tinggi,Datar,Ringan,Baik
Sangat Tinggi,Datar,Sedang,Baik
Sangat Tinggi,Datar,Sedang,Baik
Sangat Tinggi,Datar,Berat,Baik
Sangat Tinggi,Datar,Berat,Baik
Sangat Tinggi,Datar,Berat,Baik
Sangat Tinggi,Datar,Berat,Baik
Sangat Tinggi,Datar,Berat,Baik
Sangat Tinggi,Datar,Berat,Baik
Sangat Tinggi,Datar,Berat,Baik
Sangat Tinggi,Datar,Berat,Baik
Sangat Tinggi,Datar,Berat,Baik
Sangat Tinggi,Landai,Sangat Berat,Baik
Sangat Tinggi,Landai,Sangat Berat,Baik
Sangat Tinggi,Landai,Sangat Berat,Baik
Sangat Tinggi,Landai,Sangat Berat,Baik
Sangat Tinggi,Landai,Sangat Berat,Baik
Sangat Tinggi,Agak Curam,Sangat Berat,Baik
Sangat Tinggi,Datar,Sedang,Baik
Sangat Tinggi,Landai,Sedang,Baik
Sangat Tinggi,Datar,Sangat Berat,Baik
Sangat Tinggi,Datar,Sangat Berat,Baik
Sangat Tinggi,Datar,Sangat Berat,Baik
Sangat Tinggi,Datar,Sangat Berat,Baik
Sangat Tinggi,Landai,Sangat Berat,Baik
Sangat Tinggi,Landai,Sangat Berat,Baik
Sangat Tinggi,Landai,Sangat Berat,Baik
Sangat Rendah,Datar,Sedang,Buruk
Sangat Tinggi,Datar,Sedang,Baik
Sangat Tinggi,Datar,Sedang,Baik
Sangat Rendah,Datar,Sedang,Buruk
Sangat Tinggi,Datar,Ringan,Baik
Sangat Tinggi,Datar,Ringan,Baik
Sangat Tinggi,Landai,Ringan,Baik
Sangat Tinggi,Landai,Ringan,Baik
Sangat Tinggi,Datar,Sedang,Baik
Sangat Tinggi,Datar,Sedang,Baik
Sangat Tinggi,Datar,Sedang,Baik
Sangat Tinggi,Datar,Sedang,Baik
Sangat Tinggi,Datar,Sedang,Baik
Sangat Tinggi,Datar,Sedang,Baik
Sangat Tinggi,Landai,Sedang,Baik
Sangat Tinggi,Datar,Sedang,Baik
Sangat Tinggi,Datar,Sangat Berat,Baik
Sangat Tinggi,Datar,Sangat Berat,Baik
Sangat Tinggi,Datar,Sangat Berat,Baik
Sangat Tinggi,Landai,Sangat Berat,Baik
Sangat Tinggi,Landai,Sangat Berat,Baik
Sangat Tinggi,Datar,Ringan,Baik
Sangat Tinggi,Datar,Sedang,Baik
Sangat Tinggi,Datar,Ringan,Baik
Sangat Tinggi,Datar,Ringan,Baik
Sangat Tinggi,Datar,Ringan,Baik
Sangat Tinggi,Datar,Ringan,Baik
Sangat Tinggi,Datar,Ringan,Baik
Sangat Tinggi,Landai,Sedang,Baik
Sangat Tinggi,Datar,Sangat Berat,Baik
Sangat Tinggi,Datar,Sangat Berat,Baik
Sangat Tinggi,Landai,Sangat Berat,Baik
Sangat Tinggi,Landai,Sangat Berat,Baik
Sangat Tinggi,Landai,Sangat Berat,Baik
Sangat Tinggi,Agak Curam,Sangat Berat,Baik
Sangat Tinggi,Datar,Ringan,Baik
Sangat Tinggi,Datar,Ringan,Baik
Sangat Tinggi,Datar,Ringan,Baik
Sangat Tinggi,Datar,Sedang,Baik
Sangat Tinggi,Datar,Sedang,Baik
Sangat Tinggi,Datar,Sedang,Baik
Sangat Tinggi,Landai,Sedang,Baik
Sangat Tinggi,Curam,Sedang,Baik
Sangat Tinggi,Datar,Ringan,Baik
Sangat Tinggi,Datar,Ringan,Baik
Sangat Tinggi,Datar,Ringan,Baik
Sangat Tinggi,Datar,Ringan,Baik
Sangat Tinggi,Datar,Ringan,Baik
Sangat Tinggi,Datar,Ringan,Baik
Sangat Tinggi,Datar,Berat,Baik
Sangat Tinggi,Datar,Berat,Baik
Sangat Tinggi,Datar,Berat,Baik
Sangat Tinggi,Datar,Berat,Baik
Sangat Tinggi,Datar,Berat,Baik
Sangat Tinggi,Datar,Berat,Baik
Sangat Tinggi,Datar,Berat,Baik
Sangat Tinggi,Datar,Berat,Baik
Sangat Tinggi,Datar,Berat,Baik
Sangat Tinggi,Datar,Berat,Baik
Sangat Tinggi,Datar,Berat,Baik
Sangat Tinggi,Datar,Berat,Baik
Sangat Tinggi,Landai,Sangat Berat,Baik
Sangat Tinggi,Landai,Sangat Berat,Baik
Sangat Tinggi,Landai,Sangat Berat,Baik
Sangat Tinggi,Landai,Sangat Berat,Baik
Sangat Tinggi,Landai,Sangat Berat,Baik
Sangat Tinggi,Landai,Sangat Berat,Baik
Sangat Tinggi,Landai,Sangat Berat,Baik
Sangat Tinggi,Agak Curam,Sangat Berat,Baik
Sangat Tinggi,Agak Curam,Sangat Berat,Baik
Sangat Tinggi,Agak Curam,Sangat Berat,Baik
Sangat Tinggi,Agak Curam,Sangat Berat,Baik
Sangat Tinggi,Agak Curam,Sangat Berat,Baik
Sangat Tinggi,Agak Curam,Sangat Berat,Baik
Sangat Tinggi,Curam,Sangat Berat,Baik
Sangat Tinggi,Datar,Sangat Berat,Baik
Sangat Tinggi,Datar,Sedang,Baik
Sangat Tinggi,Datar,Sedang,Baik
Sangat Rendah,Datar,Sedang,Buruk
Sangat Tinggi,Datar,Sedang,Baik
Sangat Rendah,Datar,Sedang,Buruk
Sangat Rendah,Datar,Sedang,Buruk
Sangat Rendah,Datar,Sedang,Buruk
Sangat Tinggi,Datar,Sedang,Baik
Sangat Tinggi,Datar,Sedang,Baik
Sangat Tinggi,Datar,Sedang,Baik
Sangat Rendah,Datar,Sedang,Buruk
Sangat Rendah,Datar,Sedang,Buruk
Sangat Rendah,Datar,Sedang,Buruk
Sangat Rendah,Datar,Sedang,Buruk
Sangat Rendah,Datar,Sedang,Buruk
Sangat Rendah,Landai,Sedang,Buruk
Sangat Tinggi,Landai,Sedang,Baik
Sangat Tinggi,Landai,Sedang,Baik
Sangat Rendah,Landai,Sedang,Buruk
Sangat Rendah,Landai,Sedang,Buruk
Sangat Tinggi,Landai,Sedang,Baik
Sangat Rendah,Landai,Sedang,Buruk
Sangat Tinggi,Landai,Sedang,Baik
Sangat Rendah,Landai,Sedang,Buruk
Sangat Rendah,Agak Curam,Sedang,Buruk
Sangat Rendah,Agak Curam,Sedang,Buruk
Sangat Rendah,Agak Curam,Sedang,Buruk
Sangat Rendah,Agak Curam,Sedang,Buruk
Sangat Tinggi,Datar,Ringan,Baik
Sangat Tinggi,Datar,Sedang,Baik
Sangat Tinggi,Datar,Sedang,Baik
Sangat Tinggi,Datar,Sedang,Baik
Sangat Tinggi,Datar,Sedang,Baik
Sangat Tinggi,Datar,Sedang,Baik
Sangat Tinggi,Landai,Sedang,Baik
Sangat Tinggi,Datar,Sedang,Baik
Sangat Tinggi,Landai,Sedang,Baik
Sangat Tinggi,Datar,Ringan,Baik
Sangat Tinggi,Datar,Ringan,Baik
Sangat Tinggi,Datar,Ringan,Baik
Sangat Tinggi,Datar,Ringan,Baik
Sangat Tinggi,Datar,Ringan,Baik
Sangat Tinggi,Datar,Ringan,Baik
Sangat Tinggi,Datar,Berat,Baik
Sangat Tinggi,Datar,Berat,Baik
Sangat Tinggi,Landai,Sangat Berat,Baik
Sangat Tinggi,Agak Curam,Sangat Berat,Baik
Sangat Tinggi,Curam,Sangat Berat,Baik
Sangat Tinggi,Sangat Curam,Sangat Berat,Baik
Sangat Tinggi,Datar,Sangat Berat,Baik
Sangat Tinggi,Datar,Sangat Berat,Baik
Sangat Tinggi,Datar,Sangat Berat,Baik
Sangat Tinggi,Landai,Sangat Berat,Baik
Sangat Tinggi,Landai,Sangat Berat,Baik
Sangat Tinggi,Agak Curam,Sangat Berat,Baik
Sangat Rendah,Datar,Sedang,Buruk
Sangat Rendah,Datar,Sedang,Buruk
Sangat Tinggi,Datar,Sedang,Baik
Sangat Rendah,Datar,Sedang,Buruk
Sangat Tinggi,Datar,Sedang,Baik
Sangat Rendah,Datar,Sedang,Buruk
Sangat Tinggi,Datar,Sedang,Baik
Sangat Rendah,Datar,Sedang,Buruk
Sangat Rendah,Datar,Sedang,Buruk
Sangat Tinggi,Datar,Sedang,Baik
Sangat Rendah,Datar,Sedang,Buruk
Sangat Rendah,Datar,Sedang,Buruk
Sangat Tinggi,Datar,Sedang,Baik
Sangat Rendah,Datar,Sedang,Buruk
Sangat Tinggi,Datar,Sedang,Baik
Sangat Rendah,Datar,Sedang,Buruk
Sangat Tinggi,Datar,Sedang,Baik
Sangat Tinggi,Datar,Sedang,Baik
Sangat Rendah,Datar,Sedang,Buruk
Sangat Tinggi,Datar,Sedang,Baik
Sangat Rendah,Datar,Sedang,Buruk
Sangat Tinggi,Datar,Sedang,Baik
Sangat Tinggi,Datar,Sedang,Baik
Sangat Rendah,Datar,Sedang,Buruk
Sangat Rendah,Landai,Sedang,Buruk
Sangat Rendah,Landai,Sedang,Buruk
Sangat Rendah,Agak Curam,Sedang,Buruk
Sangat Rendah,Agak Curam,Sedang,Buruk
Sangat Rendah,Curam,Sedang,Buruk
Sangat Rendah,Sangat Curam,Sedang,Buruk
Sangat Rendah,Sangat Curam,Sedang,Buruk
Sangat Tinggi,Datar,Ringan,Baik
Sangat Tinggi,Datar,Ringan,Baik
Sangat Tinggi,Datar,Ringan,Baik
Sangat Tinggi,Datar,Sedang,Baik
Sangat Tinggi,Datar,Sedang,Baik
Sangat Tinggi,Datar,Sedang,Baik
Sangat Tinggi,Datar,Sedang,Baik
Sangat Tinggi,Datar,Sedang,Baik
Sangat Tinggi,Datar,Sedang,Baik
Sangat Tinggi,Datar,Sedang,Baik
Sangat Tinggi,Datar,Sedang,Baik
Sangat Tinggi,Datar,Sedang,Baik
Sangat Tinggi,Datar,Sedang,Baik
Sangat Tinggi,Landai,Sedang,Baik
Sangat Tinggi,Landai,Sedang,Baik
Sangat Tinggi,Landai,Sedang,Baik
Sangat Tinggi,Landai,Sedang,Baik
Sangat Tinggi,Landai,Sedang,Baik
Sangat Tinggi,Datar,Sedang,Baik
Sangat Tinggi,Datar,Sedang,Baik
Sangat Tinggi,Datar,Sedang,Baik
Sangat Tinggi,Datar,Sedang,Baik
Sangat Tinggi,Datar,Sedang,Baik
Sangat Tinggi,Datar,Sedang,Baik
Sangat Tinggi,Datar,Sedang,Baik
Sangat Tinggi,Datar,Sedang,Baik
Sangat Tinggi,Datar,Sedang,Baik
Sangat Tinggi,Datar,Sedang,Baik
Sangat Tinggi,Datar,Ringan,Baik
Sangat Tinggi,Datar,Ringan,Baik
Sangat Tinggi,Datar,Ringan,Baik
Sangat Tinggi,Datar,Ringan,Baik
Sangat Tinggi,Datar,Ringan,Baik
Sangat Tinggi,Datar,Ringan,Baik
Sangat Tinggi,Datar,Ringan,Baik
Sangat Tinggi,Datar,Ringan,Baik
Sangat Tinggi,Datar,Ringan,Baik
Sangat Tinggi,Datar,Ringan,Baik
Sangat Tinggi,Datar,Ringan,Baik
Rendah,Datar,Ringan,Baik
Sangat Tinggi,Datar,Ringan,Baik
Sangat Tinggi,Datar,Ringan,Baik
Sangat Tinggi,Datar,Ringan,Baik
Rendah,Datar,Ringan,Baik
Rendah,Datar,Ringan,Baik
Sangat Tinggi,Datar,Ringan,Baik
Sangat Tinggi,Datar,Ringan,Baik
Sangat Tinggi,Datar,Ringan,Baik
Sangat Tinggi,Datar,Ringan,Baik
Sangat Tinggi,Datar,Ringan,Baik
Sangat Tinggi,Datar,Ringan,Baik
Sangat Tinggi,Datar,Ringan,Baik
Sangat Tinggi,Datar,Ringan,Baik
Sangat Tinggi,Datar,Ringan,Baik
Sangat Tinggi,Datar,Ringan,Baik
Sangat Tinggi,Datar,Ringan,Baik
Sangat Tinggi,Datar,Ringan,Baik
Sangat Tinggi,Datar,Ringan,Baik
Sangat Tinggi,Datar,Ringan,Baik
Sangat Tinggi,Datar,Ringan,Baik
Sangat Tinggi,Datar,Ringan,Baik
Sangat Tinggi,Datar,Ringan,Baik
Sangat Tinggi,Datar,Ringan,Baik
Sangat Tinggi,Datar,Ringan,Baik
Sangat Tinggi,Datar,Ringan,Baik
Rendah,Datar,Ringan,Baik
Sangat Tinggi,Datar,Ringan,Baik
Sangat Tinggi,Datar,Ringan,Baik
Rendah,Datar,Ringan,Baik
Rendah,Datar,Ringan,Baik
Sangat Tinggi,Datar,Ringan,Baik
Sangat Tinggi,Datar,Ringan,Baik
Rendah,Datar,Ringan,Baik
Sangat Tinggi,Datar,Ringan,Baik
Sangat Tinggi,Datar,Ringan,Baik
Sangat Tinggi,Datar,Ringan,Baik
Sangat Tinggi,Datar,Ringan,Baik
Rendah,Datar,Ringan,Baik
Rendah,Datar,Ringan,Baik
Sangat Tinggi,Datar,Ringan,Baik
Sangat Tinggi,Datar,Ringan,Baik
Sangat Tinggi,Datar,Ringan,Baik
Sangat Tinggi,Landai,Sangat Berat,Baik
Sangat Tinggi,Agak Curam,Sangat Berat,Baik
Sangat Rendah,Datar,Sedang,Buruk
Sangat Tinggi,Datar,Sedang,Baik
Sangat Tinggi,Datar,Sedang,Baik
Sangat Tinggi,Landai,Sedang,Baik
Sangat Rendah,Landai,Sedang,Buruk
Sangat Rendah,Landai,Sedang,Buruk
Sangat Rendah,Agak Curam,Sedang,Buruk
Sangat Rendah,Agak Curam,Sedang,Buruk
Sangat Tinggi,Datar,Sedang,Baik
Sangat Tinggi,Datar,Sedang,Baik
Sangat Tinggi,Datar,Sedang,Baik
Sangat Tinggi,Landai,Sedang,Baik
Sangat Tinggi,Datar,Berat,Baik
Sangat Tinggi,Landai,Sangat Berat,Baik
Sangat Tinggi,Landai,Sangat Berat,Baik
Sangat Tinggi,Landai,Sangat Berat,Baik
Sangat Tinggi,Agak Curam,Sangat Berat,Baik
